Ciclo;Tempo;Temperatura
0;0;19.6
1;30;19.5
2;60;19.7
3;90;20
4;120;20.1
5;150;20.1
6;180;20.1
7;210;20.5
8;240;20.5
9;270;20.4
10;300;20.8
11;330;21.1
12;360;20.8
13;390;21.3
14;420;21.5
15;450;21.5
16;480;22.1
17;510;21.3
18;540;22.1
19;570;22
20;600;21.7
21;630;22.2
22;660;22.3
23;690;22.4
24;720;22.7
25;750;22.7
26;780;22.9
27;810;23.1
28;840;23.1
29;870;23.7
30;900;24.3
31;930;24.7
32;960;25.5
33;990;26.3
34;1020;27.2
35;1050;27.9
36;1080;29.7
37;1110;31.4
38;1140;33.2
39;1170;35.5
40;1200;36.4
41;1230;37.5
42;1260;38.2
43;1290;39.1
44;1320;40.1
45;1350;40.5
46;1380;41.3
47;1410;41.4
48;1440;42.4
49;1470;43.1
50;1500;43.6
51;1530;44
52;1560;44.6
53;1590;45.2
54;1620;45.5
55;1650;46.1
56;1680;46.7
57;1710;47
58;1740;47.7
59;1770;48.2
60;1800;48.6
61;1830;48.9
62;1860;49.3
63;1890;49.6
64;1920;49.8
65;1950;50.3
66;1980;50.5
67;2010;50.9
68;2040;51.1
69;2070;51.6
70;2100;51.8
71;2130;52.2
72;2160;52.5
73;2190;52.7
74;2220;53
75;2250;52.8
76;2280;53.3
77;2310;53.5
78;2340;53.8
79;2370;54
80;2400;54.3
81;2430;54.4
82;2460;54.6
83;2490;54.9
84;2520;55.3
85;2550;55
86;2580;55.3
87;2610;55.5
88;2640;55.7
89;2670;55.7
90;2700;56
91;2730;56.2
92;2760;56.6
93;2790;56.7
94;2820;56.8
95;2850;56.9
96;2880;57
97;2910;57.2
98;2940;57.3
99;2970;57.5
100;3000;57.4
101;3030;57.6
102;3060;57.4
103;3090;57.6
104;3120;57.8
105;3150;57.8
106;3180;58
107;3210;58.3
108;3240;58.3
109;3270;58.3
110;3300;58.4
111;3330;58.5
112;3360;58.7
113;3390;58.8
114;3420;59
115;3450;58.9
116;3480;59.1
117;3510;59.3
118;3540;59.3
119;3570;59.6
120;3600;59.8
121;3630;59.9
122;3660;60.2
123;3690;60.2
124;3720;60.5
125;3750;60.5
126;3780;60.6
127;3810;60.8
128;3840;60.9
129;3870;61.1
130;3900;61.1
131;3930;61.2
132;3960;61.4
133;3990;61.4
134;4020;61.5
135;4050;61.7
136;4080;61.7
137;4110;61.6
138;4140;62
139;4170;62.1
140;4200;62.1
141;4230;62.2
142;4260;62.2
143;4290;62.4
144;4320;62.5
145;4350;62.5
146;4380;62.4
147;4410;62.6
148;4440;62.6
149;4470;62.7
150;4500;62.5
151;4530;62.5
152;4560;62.5
153;4590;62.5
154;4620;62.4
155;4650;62.4
156;4680;62.5
157;4710;62.6
158;4740;62.6
159;4770;62.6
160;4800;62.7
161;4830;62.6
162;4860;63
163;4890;62.9
164;4920;62.8
165;4950;62.8
166;4980;62.7
167;5010;62.7
